ID;ФИО;ДатаРождения;Город;Телефон;Email;Образование;Комментарий
226;Егоров Юрий Матвеевич;1984-11-19;Волгоград;+79377365456;core64292@rambler.ru;Профессиональное;Фрилансер
227;Григорьев Виктор Максимович;1978-09-20;Краснодар;+79616832958;dev55408@bk.ru;Среднее специальное;Разработчик ПО
228;Морозов Константин Тимурович;1982-12-24;Саратов;+79606747260;kirill2185@mail.ru;Аспирантура;Студент последнего курса
229;Михайлов Платон Александрович;1997-07-03;Ростов-на-Дону;+79186876692;soft85776@yandex.ru;Среднее специальное;Готов к переезду
230;Иванов Демид Платонович;2006-05-19;Казань;+79175730198;study88862@list.ru;Среднее;Готов к переезду
231;Васильев Роберт Кириллович;1977-08-18;Тольятти;+79372498619;filippovmarkel@inbox.ru;Общее среднее;Исследовательская деятельность
232;Орлов Андрей Фёдорович;1972-03-10;Ростов-на-Дону;+79289426727;andrey34357@gmail.com;Общее среднее;Ищет работу по специальности
233;Соловьёв Руслан Максимович;1983-05-23;Челябинск;+79082521849;box76508@rambler.ru;Профессиональное;Опыт работы 2 года
234;Новиков Тимур Николаевич;1981-05-05;Санкт-Петербург;+79528394198;temp50026@bk.ru;Среднее;Разработчик ПО
235;Борисов Матвей Константинович;1980-07-20;Волгоград;+79197695697;sys21624@rambler.ru;Среднее специальное;Бариста
236;Кузьмин Савва Кириллович;1984-08-23;Ижевск;+79639539783;cloud55568@inbox.ru;Среднее;Научный сотрудник
237;Семёнов Евгений Алексеевич;1997-03-19;Тольятти;+79671961959;hard61272@rambler.ru;Неоконченное высшее;Курьер
238;Лебедев Пётр Маркович;2004-08-21;Тюмень;+79633121552;pasha7868@gmail.com;Высшее;Студент последнего курса
239;Фёдоров Платон Иванович;1976-12-29;Самара;+79876723171;career32880@rambler.ru;Среднее;Разработчик ПО
240;Сергеев Фёдор Борисович;1992-11-14;Краснодар;+79196353297;makarovnikolay@rambler.ru;Среднее;Логист
241;Новиков Семён Денисович;1976-01-12;Краснодар;+79196996189;kirill6637@list.ru;Магистратура;Научный сотрудник
242;Захаров Платон Маркович;1998-01-28;Тольятти;+79376875692;ustin.kalinin@list.ru;Высшее;Бариста
243;Попов Андрей Саввич;1979-05-16;Уфа;+79673281848;contact88740@bk.ru;Профессиональное;Научный сотрудник
244;Алексеев Роберт Глебович;2004-09-17;Казань;+79874271175;soft8702@gmail.com;Среднее специальное;Исследовательская деятельность
245;Дмитриев Лев Кириллович;1998-12-04;Саратов;+79174445994;admin31231@rambler.ru;Магистратура;Опыт работы 2 года
246;Никитин Герман Иванович;1978-01-01;Ижевск;+79223280391;roma17981@inbox.ru;Аспирантура;Бариста
247;Захаров Роберт Николаевич;2005-05-18;Тольятти;+79377332349;makarovsavva@inbox.ru;Аспирантура;Менеджер по продажам
248;Фёдоров Маркел Владимирович;1979-08-22;Тюмень;+79125681799;pasha86735@mail.ru;Аспирантура;Курьер
249;Соловьёв Марк Михайлович;1971-11-20;Санкт-Петербург;+79115458392;alex9928@bk.ru;Общее среднее;Сварщик
250;Медведев Кирилл Егорович;1977-08-26;Санкт-Петербург;+79216076010;manager51719@rambler.ru;Общее среднее;Маркетолог
251;Иванов Глеб Никитич;1972-05-20;Красноярск;+79132991644;mail55197@inbox.ru;Неоконченное высшее;Системный администратор
252;Романов Олег Павлович;1985-07-19;Саратов;+79178289683;makarov_evgeniy@bk.ru;Профессиональное;Юрист
253;Морозов Константин Маркович;2003-12-19;Уфа;+79272851327;random39825@list.ru;Общее среднее;Бариста
254;Кузнецов Устин Владимирович;2001-10-28;Санкт-Петербург;+79607275474;alex74750@bk.ru;Аспирантура;Финансовый аналитик
255;Ильин Дмитрий Борисович;1999-09-12;Санкт-Петербург;+79219139896;sys64326@rambler.ru;Высшее;Опыт работы 2 года
256;Орлов Лев Ильич;1988-09-16;Самара;+79371228272;sys34979@yandex.ru;Неоконченное высшее;Системный администратор
257;Петров Алексей Николаевич;2005-06-23;Красноярск;+79238082311;app55408@rambler.ru;Высшее;Дизайнер интерфейсов
258;Кузнецов Тимофей Янович;1982-09-27;Краснодар;+79641471834;andrey20327@bk.ru;Общее среднее;Фрилансер
259;Морозов Александр Владимирович;1985-02-12;Москва;+79157065949;mikhaylovboris@yandex.ru;Высшее;Разработчик ПО
260;Волков Матвей Романович;1970-04-30;Тюмень;+79225532419;random46105@bk.ru;Среднее специальное;Бухгалтер
261;Новиков Егор Фёдорович;1981-09-12;Санкт-Петербург;+79816343936;roma53212@list.ru;Среднее специальное;Научный сотрудник
262;Григорьев Пётр Сергеевич;1993-06-28;Нижний Новгород;+79958078304;nikitin.oleg@yandex.ru;Неоконченное высшее;Курьер
263;Николаев Фёдор Николаевич;1996-08-10;Краснодар;+79526985551;app68388@mail.ru;Неоконченное высшее;Научный сотрудник
264;Кузнецов Никита Львович;1993-04-30;Ижевск;+79229055827;contact41758@gmail.com;Аспирантура;Бариста
265;Алексеев Илья Демидович;1987-08-22;Омск;+79082824005;contact57199@mail.ru;Высшее;Ищет работу по специальности
266;Борисов Алексей Ильич;1978-05-05;Саратов;+79378881382;client88890@gmail.com;Неоконченное высшее;Логист
267;Семёнов Матвей Георгиевич;1985-06-12;Уфа;+79274687863;project41362@list.ru;Общее среднее;Опыт работы 2 года
268;Фёдоров Антон Петрович;1974-10-02;Казань;+79374181705;vasilevsergey@yandex.ru;Магистратура;Студент последнего курса
269;Морозов Илья Ильич;1996-06-07;Челябинск;+79513558742;max41709@list.ru;Профессиональное;Студент последнего курса
270;Романов Артём Саввич;1977-12-08;Екатеринбург;+79822708006;makarovfyodor@inbox.ru;Высшее;Ищет работу по специальности
271;Попов Тимофей Олегович;1998-05-20;Челябинск;+79081658168;vorobyov_nikolay@mail.ru;Общее среднее;Логист
272;Кузьмин Матвей Константинович;1987-10-26;Самара;+79379232875;client78987@rambler.ru;Неоконченное высшее;Системный администратор
273;Морозов Виктор Денисович;1997-06-15;Саратов;+79673595824;stepanov_anton@list.ru;Профессиональное;Дизайнер интерфейсов
274;Филиппов Андрей Евгеньевич;2006-04-09;Москва;+79776461363;account41416@yandex.ru;Магистратура;Исследовательская деятельность
275;Медведев Фёдор Ильич;1982-04-17;Самара;+79371081221;kirill67971@mail.ru;Среднее;Маркетолог
276;Кузьмин Ян Максимович;2001-07-31;Ростов-на-Дону;+79193856417;web62030@inbox.ru;Профессиональное;Курьер
277;Козлов Лев Дмитриевич;2001-07-15;Новосибирск;+79534330840;test89970@bk.ru;Профессиональное;Финансовый аналитик
278;Яковлев Роман Егорович;1981-03-03;Нижний Новгород;+79103224903;kirill31547@mail.ru;Магистратура;Исследовательская деятельность
279;Морозов Маркел Петрович;1993-05-12;Воронеж;+79956595946;mikhaylov_mikhail@gmail.com;Профессиональное;Системный администратор
280;Яковлев Фёдор Германович;1992-08-11;Краснодар;+79886315358;manager60256@yandex.ru;Среднее специальное;Студент последнего курса
281;Михайлов Иван Иванович;1991-06-22;Ижевск;+79221846575;work67394@gmail.com;Среднее специальное;Студент последнего курса
282;Новиков Илья Иванович;1986-11-30;Самара;+79629872909;test72447@bk.ru;Среднее;Сварщик
283;Ильин Устин Константинович;1984-12-01;Нижний Новгород;+79954339950;manager88395@rambler.ru;Общее среднее;Юрист
284;Морозов Дмитрий Романович;1977-02-08;Нижний Новгород;+79913589406;roma28516@inbox.ru;Высшее;Сварщик
285;Волков Маркел Алексеевич;1982-02-05;Ростов-на-Дону;+79183197473;nikita21255@yandex.ru;Среднее специальное;Студент последнего курса
286;Григорьев Ян Русланович;1975-06-14;Новосибирск;+79232284976;learn45362@mail.ru;Общее среднее;Студент последнего курса
287;Орлов Антон Львович;1970-01-26;Новосибирск;+79198664448;serg65274@gmail.com;Среднее специальное;Фрилансер
288;Орлов Тарас Платонович;1978-06-15;Красноярск;+79137814766;dima12610@gmail.com;Высшее;Финансовый аналитик
289;Михайлов Савва Тимурович;1987-10-10;Нижний Новгород;+79611666389;core86186@yandex.ru;Среднее специальное;Сварщик
290;Филиппов Глеб Германович;1974-10-30;Тольятти;+79874636049;career11829@list.ru;Общее среднее;Фрилансер
291;Медведев Антон Михайлович;1971-12-14;Пермь;+79082331493;ivan.novikov@inbox.ru;Неоконченное высшее;Бухгалтер
292;Иванов Виктор Андреевич;1975-12-16;Волгоград;+79372648574;net45304@inbox.ru;Аспирантура;Системный администратор
293;Попов Дмитрий Денисович;1989-01-14;Омск;+79082004985;oleg.ilin@rambler.ru;Среднее специальное;Ищет работу по специальности
294;Волков Тарас Николаевич;2004-03-24;Ростов-на-Дону;+79198324732;manager88752@bk.ru;Аспирантура;Юрист
295;Андреев Артур Романович;1993-11-04;Уфа;+79374361177;kuzminartur@mail.ru;Аспирантура;Фрилансер
296;Воробьёв Дмитрий Максимович;1997-10-25;Саратов;+79178086572;project20943@inbox.ru;Высшее;Исследовательская деятельность
297;Иванов Фёдор Борисович;1984-07-28;Санкт-Петербург;+79995445113;medvedev_stepan@yandex.ru;Среднее;Системный администратор
298;Сергеев Владимир Георгиевич;1970-03-23;Санкт-Петербург;+79318150109;account12182@mail.ru;Общее среднее;Исследовательская деятельность
299;Семёнов Егор Янович;1978-10-30;Уфа;+79376323520;career63312@yandex.ru;Профессиональное;Сварщик
300;Зайцев Игорь Матвеевич;2002-12-19;Волгоград;+79677566469;app19034@gmail.com;Общее среднее;Дизайнер интерфейсов
301;Дмитриев Пётр Никитич;1995-10-23;Саратов;+79172025997;net9350@inbox.ru;Неоконченное высшее;Научный сотрудник
302;Семёнов Борис Кириллович;1978-05-04;Новосибирск;+79834331878;hard59821@bk.ru;Неоконченное высшее;Фрилансер
303;Новиков Борис Евгеньевич;1983-09-17;Краснодар;+79282003293;random51520@inbox.ru;Среднее специальное;Ищет работу по специальности
304;Смирнов Роберт Андреевич;1980-08-12;Самара;+79878705961;nikita45826@mail.ru;Среднее специальное;Финансовый аналитик
305;Андреев Егор Глебович;1980-04-06;Нижний Новгород;+79202736752;account83587@inbox.ru;Магистратура;Маркетолог
306;Андреев Лев Глебович;1989-09-26;Челябинск;+79221298837;roma75425@list.ru;Неоконченное высшее;Студент последнего курса
307;Филиппов Антон Георгиевич;1997-01-30;Ростов-на-Дону;+79884160951;dima79409@gmail.com;Общее среднее;Маркетолог
308;Яковлев Руслан Максимович;1998-07-02;Санкт-Петербург;+79043719294;ivan54442@mail.ru;Магистратура;Бариста
309;Макаров Ян Русланович;2004-02-04;Краснодар;+79601498789;serg85156@rambler.ru;Профессиональное;Исследовательская деятельность
310;Захаров Никита Иванович;2006-04-19;Москва;+79093133842;dev28843@list.ru;Неоконченное высшее;Логист
311;Волков Никита Александрович;1981-06-27;Омск;+79627879010;konstantin.makarov@rambler.ru;Магистратура;Системный администратор
312;Петров Даниил Демидович;1998-07-10;Ростов-на-Дону;+79619748967;hard27479@gmail.com;Аспирантура;Опыт работы 2 года
313;Егоров Даниил Максимович;1994-11-05;Москва;+79031188199;random71039@yandex.ru;Профессиональное;Бухгалтер
314;Козлов Иван Александрович;1974-12-17;Ростов-на-Дону;+79191033666;tech25263@inbox.ru;Среднее;Дизайнер интерфейсов
315;Никитин Герман Маркович;1985-03-22;Уфа;+79601418880;career73022@inbox.ru;Неоконченное высшее;Студент последнего курса
316;Орлов Иван Робертович;1987-03-29;Красноярск;+79937978482;tech49910@inbox.ru;Аспирантура;Маркетолог
317;Медведев Никита Викторович;1993-12-02;Нижний Новгород;+79612139875;contact26272@list.ru;Среднее;Системный администратор
318;Волков Егор Янович;2001-03-28;Тольятти;+79277125262;yan.vorobyov@gmail.com;Общее среднее;Ищет работу по специальности
319;Яковлев Александр Сергеевич;1981-02-11;Тюмень;+79127423609;test73466@mail.ru;Профессиональное;Менеджер по продажам
320;Медведев Ян Андреевич;2002-04-06;Самара;+79378797691;app88082@bk.ru;Общее среднее;Опыт работы 2 года
321;Морозов Андрей Игоревич;1996-10-19;Москва;+79253046333;ivan.pavlov@bk.ru;Магистратура;Маркетолог
322;Воробьёв Борис Устинович;1971-10-10;Екатеринбург;+79514884149;core86904@inbox.ru;Профессиональное;Системный администратор
323;Егоров Юрий Робертович;2001-07-28;Тюмень;+79221102502;savva.vasilev@bk.ru;Аспирантура;Научный сотрудник
324;Павлов Тимофей Викторович;1990-09-06;Краснодар;+79893327215;dev24335@inbox.ru;Профессиональное;Дизайнер интерфейсов
325;Никитин Павел Львович;1999-04-19;Москва;+79091788529;kalinin_aleksandr@mail.ru;Среднее;Логист
326;Зайцев Павел Тарасович;1985-02-28;Челябинск;+79126127343;alex52478@list.ru;Аспирантура;Автомеханик
327;Козлов Олег Филиппович;1977-05-28;Нижний Новгород;+79606390814;ivan85856@gmail.com;Среднее;Маркетолог
328;Павлов Тимур Робертович;1986-08-20;Красноярск;+79537500540;account75849@bk.ru;Неоконченное высшее;Научный сотрудник
329;Захаров Виктор Евгеньевич;1995-11-11;Волгоград;+79271672206;sys21585@list.ru;Магистратура;Маркетолог
330;Андреев Тарас Семёнович;2004-06-05;Нижний Новгород;+79608305290;roma53353@yandex.ru;Среднее специальное;Дизайнер интерфейсов
331;Дмитриев Артём Борисович;1991-02-07;Уфа;+79377049722;nikita87345@gmail.com;Среднее специальное;Фрилансер
332;Петров Демид Ильич;1983-03-30;Санкт-Петербург;+79506679151;hard62215@gmail.com;Магистратура;Студент последнего курса
333;Алексеев Владимир Кириллович;1980-08-02;Красноярск;+79131899742;kuznetsov.yan@inbox.ru;Профессиональное;Сварщик
334;Петров Евгений Семёнович;1970-11-10;Ростов-на-Дону;+79503560336;denis.sokolov@gmail.com;Магистратура;Исследовательская деятельность
335;Волков Роберт Максимович;1990-06-04;Ижевск;+79505247328;temp86955@list.ru;Высшее;Исследовательская деятельность
336;Морозов Даниил Артурович;1977-09-02;Тольятти;+79378069967;learn39764@gmail.com;Общее среднее;Бухгалтер
337;Егоров Тарас Семёнович;1973-08-23;Красноярск;+79532194521;fyodorov.dmitriy@rambler.ru;Магистратура;Дизайнер интерфейсов
338;Васильев Евгений Константинович;1987-03-08;Тольятти;+79621466317;info89711@list.ru;Неоконченное высшее;Менеджер по продажам
339;Борисов Андрей Глебович;2003-09-20;Тюмень;+79515905505;app30518@bk.ru;Неоконченное высшее;Дизайнер интерфейсов
340;Васильев Илья Платонович;1980-05-02;Воронеж;+79101383277;pasha83743@gmail.com;Среднее;Бариста
341;Павлов Михаил Русланович;1976-04-23;Новосибирск;+79191788093;makarov.nikolay@gmail.com;Общее среднее;Менеджер по продажам
342;Фёдоров Руслан Маркович;1992-10-10;Волгоград;+79615902809;work51952@bk.ru;Высшее;Бариста
343;Николаев Михаил Маркович;1996-09-21;Москва;+79653762564;box44492@inbox.ru;Профессиональное;Сварщик
344;Николаев Георгий Саввич;2004-04-22;Краснодар;+79189952096;ivan88892@yandex.ru;Среднее специальное;Системный администратор
345;Григорьев Степан Саввич;1971-09-12;Новосибирск;+79198321492;ivan51369@gmail.com;Неоконченное высшее;Финансовый аналитик
346;Морозов Тарас Михайлович;2000-10-22;Омск;+79626320485;novikov_egor@gmail.com;Общее среднее;Разработчик ПО
347;Романов Илья Иванович;2004-08-20;Тюмень;+79514493076;app90350@inbox.ru;Среднее;Финансовый аналитик
348;Новиков Тимур Демидович;1978-08-04;Москва;+79855144347;egorov.taras@mail.ru;Высшее;Готов к переезду
349;Воробьёв Демид Игоревич;1989-12-18;Москва;+79163052907;nikita67819@yandex.ru;Общее среднее;Бухгалтер
350;Соколов Максим Глебович;1980-05-24;Тольятти;+79879589481;zaytsevdemid@gmail.com;Высшее;Маркетолог
351;Иванов Кирилл Антонович;1974-01-22;Екатеринбург;+79929789458;andrey35156@yandex.ru;Аспирантура;Логист
352;Николаев Юрий Маркович;2000-07-08;Москва;+79657851166;roma28613@bk.ru;Магистратура;Сварщик
353;Романов Антон Германович;1970-02-26;Воронеж;+79105742824;ivan55385@yandex.ru;Среднее;Логист
354;Кузьмин Евгений Фёдорович;1991-09-02;Новосибирск;+79197029397;learn37727@rambler.ru;Высшее;Фрилансер
355;Петров Тимофей Демидович;1979-03-19;Омск;+79138021752;max37030@list.ru;Среднее;Автомеханик
356;Павлов Семён Вадимович;1972-11-04;Пермь;+79632906727;core8369@gmail.com;Среднее специальное;Фрилансер
357;Николаев Роман Тимурович;1979-12-03;Самара;+79274238769;app65312@gmail.com;Магистратура;Автомеханик
358;Макаров Егор Платонович;1981-12-15;Новосибирск;+79196001562;tech68188@yandex.ru;Аспирантура;Маркетолог
359;Смирнов Георгий Тимурович;1993-03-27;Самара;+79876026169;manager72068@inbox.ru;Магистратура;Курьер
360;Ильин Илья Романович;1992-12-05;Екатеринбург;+79922705522;core64273@inbox.ru;Аспирантура;Фрилансер
361;Филиппов Владимир Викторович;1982-03-14;Уфа;+79871041636;dima27891@gmail.com;Профессиональное;Логист
362;Филиппов Артём Петрович;1984-06-09;Уфа;+79271337298;info90807@gmail.com;Общее среднее;Готов к переезду
363;Калинин Марк Матвеевич;1990-06-16;Ростов-на-Дону;+79896630093;dev4157@bk.ru;Общее среднее;Опыт работы 2 года
364;Зайцев Владимир Фёдорович;1971-12-02;Челябинск;+79673633371;hard30520@mail.ru;Профессиональное;Готов к переезду
365;Степанов Иван Алексеевич;1973-08-09;Ростов-на-Дону;+79186076249;ivan18679@mail.ru;Среднее специальное;Маркетолог
366;Воробьёв Юрий Егорович;2001-06-18;Саратов;+79278275333;manager81148@rambler.ru;Неоконченное высшее;Менеджер по продажам
367;Дмитриев Тарас Павлович;1970-03-13;Новосибирск;+79832264688;temp75030@gmail.com;Среднее;Бариста
368;Калинин Евгений Тарасович;1993-09-27;Пермь;+79829869567;semyonov.mark@bk.ru;Профессиональное;Дизайнер интерфейсов
369;Кузнецов Илья Никитич;1991-08-19;Санкт-Петербург;+79819617699;kirill83537@rambler.ru;Профессиональное;Автомеханик
370;Соколов Максим Демидович;1993-10-10;Пермь;+79082254407;tech17610@inbox.ru;Общее среднее;Научный сотрудник
371;Иванов Глеб Константинович;1971-10-12;Краснодар;+79615382136;roma33504@bk.ru;Общее среднее;Научный сотрудник
372;Зайцев Георгий Фёдорович;1976-04-16;Москва;+79662057579;work70698@gmail.com;Аспирантура;Ищет работу по специальности
373;Егоров Евгений Маркелович;2001-06-05;Красноярск;+79936136674;dev32085@yandex.ru;Неоконченное высшее;Разработчик ПО
374;Смирнов Николай Михайлович;1977-09-09;Екатеринбург;+79679030007;kuzmin.lev@gmail.com;Среднее;Юрист
375;Филиппов Алексей Егорович;1989-10-25;Санкт-Петербург;+79811564312;dima23350@inbox.ru;Среднее;Фрилансер
376;Григорьев Тарас Евгеньевич;1995-03-09;Красноярск;+79134122038;learn24574@bk.ru;Аспирантура;Опыт работы 2 года
377;Новиков Илья Вадимович;1989-08-04;Казань;+79375103741;kirill45277@list.ru;Профессиональное;Логист
378;Сергеев Павел Николаевич;2004-03-26;Ижевск;+79631521137;job4151@rambler.ru;Профессиональное;Готов к переезду
379;Григорьев Степан Борисович;1983-09-06;Санкт-Петербург;+79049498618;core82377@mail.ru;Среднее специальное;Студент последнего курса
380;Никитин Максим Устинович;1998-06-30;Воронеж;+79307720640;artur.alekseev@yandex.ru;Среднее специальное;Системный администратор
381;Степанов Илья Вадимович;1999-08-18;Тольятти;+79671893404;data84184@bk.ru;Среднее;Системный администратор
382;Новиков Виктор Александрович;1995-03-23;Санкт-Петербург;+79044597532;work89282@yandex.ru;Магистратура;Логист
383;Воробьёв Роберт Ильич;1986-09-23;Москва;+79154763403;dev86876@yandex.ru;Аспирантура;Маркетолог
384;Никитин Герман Устинович;1987-06-09;Волгоград;+79177312810;petrov.ruslan@mail.ru;Неоконченное высшее;Дизайнер интерфейсов
385;Семёнов Георгий Сергеевич;1997-03-16;Воронеж;+79953579427;kuznetsovviktor@mail.ru;Среднее;Юрист
386;Николаев Максим Владимирович;1980-11-09;Екатеринбург;+79089760584;roma50119@yandex.ru;Среднее;Бариста
387;Соколов Игорь Юрьевич;2000-10-30;Самара;+79676937691;learn9233@rambler.ru;Магистратура;Дизайнер интерфейсов
388;Волков Ян Тимурович;1972-01-19;Москва;+79166436990;volkov.timofey@gmail.com;Аспирантура;Логист
389;Лебедев Тарас Демидович;1995-07-09;Ростов-на-Дону;+79185903804;project77258@yandex.ru;Среднее специальное;Сварщик
390;Алексеев Ян Максимович;1995-02-09;Самара;+79278676642;temp11854@list.ru;Неоконченное высшее;Курьер
391;Иванов Артур Янович;1972-09-11;Самара;+79873622459;admin87481@gmail.com;Среднее специальное;Студент последнего курса
392;Морозов Семён Фёдорович;1978-08-17;Тольятти;+79671031900;pasha31986@inbox.ru;Неоконченное высшее;Сварщик
393;Орлов Павел Андреевич;1980-06-05;Омск;+79132963182;nikita5745@mail.ru;Неоконченное высшее;Фрилансер
394;Сергеев Дмитрий Робертович;1980-05-31;Тюмень;+79324376006;net50339@list.ru;Профессиональное;Курьер
395;Борисов Тарас Маркелович;1971-02-13;Казань;+79602229043;dev46854@yandex.ru;Среднее;Опыт работы 2 года
396;Соловьёв Виктор Тимофеевич;1998-09-11;Омск;+79626274250;study42644@mail.ru;Среднее специальное;Менеджер по продажам
397;Михайлов Вадим Иванович;1994-07-13;Уфа;+79606352453;dmitriev_lev@mail.ru;Неоконченное высшее;Разработчик ПО
398;Иванов Степан Дмитриевич;1977-05-09;Казань;+79372047549;sidorov.taras@bk.ru;Среднее специальное;Разработчик ПО
399;Соколов Александр Матвеевич;1971-07-22;Тюмень;+79226516805;admin63546@yandex.ru;Среднее;Разработчик ПО
400;Волков Савва Тимофеевич;1978-10-23;Нижний Новгород;+79203401982;soft30526@inbox.ru;Неоконченное высшее;Менеджер по продажам
401;Ильин Кирилл Глебович;1978-04-09;Саратов;+79172856149;zakharov_nikolay@gmail.com;Неоконченное высшее;Финансовый аналитик
402;Филиппов Кирилл Глебович;1977-02-15;Уфа;+79872576430;dima39292@yandex.ru;Неоконченное высшее;Курьер
403;Козлов Тимур Петрович;1985-03-16;Казань;+79278455272;core27234@yandex.ru;Профессиональное;Дизайнер интерфейсов
404;Дмитриев Александр Никитич;1972-01-29;Екатеринбург;+79921482239;account2055@rambler.ru;Магистратура;Исследовательская деятельность
405;Воробьёв Дмитрий Евгеньевич;1980-07-04;Воронеж;+79615066110;job38447@mail.ru;Высшее;Исследовательская деятельность
406;Борисов Николай Тимофеевич;1984-10-17;Воронеж;+79917941497;app18718@gmail.com;Профессиональное;Менеджер по продажам
407;Морозов Антон Германович;1979-12-11;Москва;+79853079093;manager66087@rambler.ru;Аспирантура;Юрист
408;Смирнов Александр Павлович;2004-04-14;Пермь;+79228624670;sys2742@mail.ru;Высшее;Менеджер по продажам
409;Алексеев Никита Сергеевич;1998-11-06;Казань;+79372589984;nikita.medvedev@gmail.com;Аспирантура;Готов к переезду
410;Дмитриев Степан Александрович;1980-10-03;Краснодар;+79183248058;core19701@list.ru;Среднее специальное;Студент последнего курса
411;Морозов Кирилл Филиппович;1997-09-17;Волгоград;+79671122679;grigorev.ruslan@mail.ru;Среднее;Финансовый аналитик
412;Орлов Лев Фёдорович;1972-10-23;Пермь;+79225050235;popov.robert@yandex.ru;Магистратура;Научный сотрудник
413;Никитин Никита Антонович;1994-01-03;Москва;+79773213021;fyodorov_boris@rambler.ru;Магистратура;Маркетолог
414;Григорьев Александр Алексеевич;2001-05-03;Санкт-Петербург;+79521406350;soft4045@gmail.com;Среднее;Опыт работы 2 года
415;Сидоров Евгений Маркович;1977-10-11;Красноярск;+79133669667;artyom.kuznetsov@gmail.com;Магистратура;Логист
416;Воробьёв Егор Антонович;1973-11-23;Пермь;+79086245470;solovyovartyom@inbox.ru;Высшее;Юрист
417;Романов Егор Алексеевич;1979-11-21;Новосибирск;+79193520614;makarov_vladimir@yandex.ru;Неоконченное высшее;Юрист
418;Иванов Устин Борисович;2005-11-28;Москва;+79031958379;zaytsevgeorgiy@rambler.ru;Аспирантура;Готов к переезду
419;Михайлов Георгий Сергеевич;1989-02-24;Воронеж;+79919079393;hard51630@mail.ru;Высшее;Бариста
420;Павлов Роман Маркович;1988-10-01;Ижевск;+79225710230;support75162@rambler.ru;Высшее;Финансовый аналитик
421;Павлов Денис Викторович;1984-04-24;Самара;+79375234420;support83111@gmail.com;Магистратура;Сварщик
422;Николаев Игорь Артурович;1986-10-23;Ростов-на-Дону;+79645489822;borisov.timofey@yandex.ru;Среднее специальное;Опыт работы 2 года
423;Михайлов Кирилл Иванович;1985-03-27;Воронеж;+79617479696;kalininyan@list.ru;Среднее;Дизайнер интерфейсов
424;Медведев Алексей Семёнович;2001-05-22;Тюмень;+79824441932;study3071@bk.ru;Общее среднее;Маркетолог
425;Сергеев Сергей Егорович;1991-09-27;Краснодар;+79617273954;solovyovkirill@yandex.ru;Магистратура;Менеджер по продажам
426;Новиков Тарас Евгеньевич;1993-02-21;Москва;+79853160632;serg42946@gmail.com;Среднее специальное;Ищет работу по специальности
427;Яковлев Александр Егорович;1981-06-30;Самара;+79375534964;soft5963@gmail.com;Среднее;Дизайнер интерфейсов
428;Николаев Георгий Филиппович;2001-01-31;Саратов;+79376037287;cloud86283@rambler.ru;Профессиональное;Финансовый аналитик
429;Новиков Герман Евгеньевич;1977-06-17;Красноярск;+79634158614;cloud24994@gmail.com;Высшее;Научный сотрудник
430;Васильев Лев Егорович;2002-12-11;Пермь;+79086092403;random83106@bk.ru;Магистратура;Опыт работы 2 года
431;Морозов Демид Тарасович;2002-07-19;Красноярск;+79633375120;info80800@yandex.ru;Высшее;Курьер
432;Семёнов Семён Олегович;1974-06-17;Тюмень;+79225802987;user69344@yandex.ru;Общее среднее;Системный администратор
433;Орлов Тарас Игоревич;1987-11-26;Уфа;+79875410405;project65111@inbox.ru;Среднее;Курьер
434;Волков Тимур Львович;1979-07-29;Екатеринбург;+79675984187;core9851@list.ru;Среднее специальное;Бухгалтер
435;Соловьёв Глеб Викторович;1981-06-17;Новосибирск;+79145401936;user11758@rambler.ru;Среднее;Бариста
436;Смирнов Константин Георгиевич;1985-07-22;Омск;+79932405821;web22099@gmail.com;Среднее специальное;Логист
437;Иванов Владимир Робертович;1983-04-10;Челябинск;+79676152063;andrey57127@gmail.com;Аспирантура;Готов к переезду
438;Николаев Виктор Матвеевич;1987-12-17;Воронеж;+79109563348;work48447@rambler.ru;Общее среднее;Фрилансер
439;Сергеев Тарас Алексеевич;1998-04-12;Тольятти;+79674163120;contact63279@rambler.ru;Общее среднее;Ищет работу по специальности
440;Николаев Андрей Дмитриевич;2004-07-06;Тюмень;+79638591502;fyodor.kozlov@rambler.ru;Общее среднее;Фрилансер
441;Кузьмин Фёдор Устинович;1977-10-29;Москва;+79852140134;soft3773@inbox.ru;Среднее специальное;Автомеханик
442;Григорьев Георгий Егорович;1987-11-11;Нижний Новгород;+79209912313;career19181@bk.ru;Среднее специальное;Финансовый аналитик
443;Борисов Даниил Маркелович;1974-04-28;Саратов;+79373857175;manager15319@list.ru;Среднее;Сварщик
444;Андреев Тимур Львович;1977-02-10;Уфа;+79177735783;app29983@rambler.ru;Аспирантура;Дизайнер интерфейсов
445;Морозов Кирилл Русланович;1989-09-21;Нижний Новгород;+79615275806;core44985@list.ru;Профессиональное;Курьер
446;Попов Пётр Степанович;1994-07-29;Самара;+79274111836;kuzmindmitriy@inbox.ru;Общее среднее;Опыт работы 2 года
447;Смирнов Максим Устинович;1982-10-07;Казань;+79871970432;cloud82009@mail.ru;Среднее специальное;Менеджер по продажам
448;Иванов Олег Егорович;2002-04-29;Краснодар;+79641965555;kozlov.ilya@yandex.ru;Высшее;Фрилансер
449;Николаев Алексей Тимофеевич;2004-08-27;Самара;+79609340168;contact70524@mail.ru;Неоконченное высшее;Финансовый аналитик
450;Иванов Андрей Глебович;1984-03-30;Ижевск;+79198711172;career88119@inbox.ru;Неоконченное высшее;Системный администратор
